Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Total Traded Quantity,Turnover,No of Trades
M&M,EQ,11-May-17,"1,376.40","1,385.70","1,402.20","1,362.80","1,376.20","1,376.15","17,44,710","2,40,80,65,155.75","49,274"
M&M,EQ,12-May-17,"1,376.15","1,378.00","1,378.00","1,361.70","1,363.10","1,367.85","17,49,749","2,39,37,21,196.35","45,573"
M&M,EQ,15-May-17,"1,367.85","1,373.00","1,386.65","1,370.00","1,374.80","1,375.65","5,58,190","76,93,57,918.15","38,442"
M&M,EQ,16-May-17,"1,375.65","1,377.00","1,380.50","1,363.10","1,364.15","1,366.35","5,16,012","70,75,63,396.95","29,075"
M&M,EQ,17-May-17,"1,366.35","1,363.00","1,384.35","1,360.40","1,379.00","1,378.80","9,20,884","1,26,94,96,569.50","32,299"
M&M,EQ,18-May-17,"1,378.80","1,369.00","1,372.00","1,347.50","1,347.50","1,352.85","12,17,846","1,65,83,44,015.40","20,476"
M&M,EQ,19-May-17,"1,352.85","1,350.00","1,357.60","1,328.50","1,338.20","1,333.40","9,76,742","1,31,35,21,664.40","36,297"
M&M,EQ,22-May-17,"1,333.40","1,340.15","1,341.95","1,301.10","1,307.00","1,306.25","4,36,797","57,39,01,073.90","26,521"
M&M,EQ,23-May-17,"1,306.25","1,315.00","1,338.35","1,300.00","1,328.35","1,331.75","7,80,182","1,03,36,63,448.90","40,561"
M&M,EQ,24-May-17,"1,331.75","1,331.50","1,338.80","1,301.45","1,308.00","1,308.65","6,25,683","82,21,80,435.00","29,997"
M&M,EQ,25-May-17,"1,308.65","1,311.00","1,335.90","1,304.00","1,335.90","1,327.50","14,56,698","1,92,57,07,945.30","60,911"
M&M,EQ,26-May-17,"1,327.50","1,334.00","1,348.90","1,327.50","1,341.00","1,340.85","3,35,223","44,89,19,973.95","16,125"
M&M,EQ,29-May-17,"1,340.85","1,345.00","1,375.75","1,327.40","1,362.90","1,360.05","10,58,764","1,43,25,43,453.90","37,535"
M&M,EQ,30-May-17,"1,360.05","1,364.00","1,379.00","1,342.30","1,367.65","1,361.10","22,23,885","3,03,01,40,652.25","68,059"
M&M,EQ,31-May-17,"1,361.10","1,392.50","1,448.50","1,392.00","1,413.70","1,416.95","39,41,786","5,61,36,56,174.25","1,46,225"
M&M,EQ,01-Jun-17,"1,416.95","1,430.00","1,441.00","1,416.10","1,426.65","1,425.25","17,12,339","2,44,74,42,775.90","55,540"
M&M,EQ,02-Jun-17,"1,425.25","1,430.00","1,434.75","1,409.00","1,421.95","1,418.50","14,42,389","2,05,61,58,309.10","57,116"
M&M,EQ,05-Jun-17,"1,418.50","1,424.95","1,432.50","1,421.10","1,423.00","1,423.70","11,51,951","1,64,40,20,715.35","49,138"
M&M,EQ,06-Jun-17,"1,423.70","1,423.05","1,429.85","1,404.15","1,409.00","1,411.45","8,03,816","1,13,41,33,210.95","24,783"
M&M,EQ,07-Jun-17,"1,411.45","1,423.15","1,451.10","1,413.55","1,430.00","1,431.90","19,04,689","2,73,90,57,164.95","74,038"
M&M,EQ,08-Jun-17,"1,431.90","1,433.50","1,440.00","1,410.10","1,416.00","1,417.50","8,49,201","1,20,46,83,317.95","31,059"
M&M,EQ,09-Jun-17,"1,417.50","1,418.00","1,434.70","1,414.10","1,427.00","1,426.70","9,08,631","1,29,69,42,193.60","45,358"
M&M,EQ,12-Jun-17,"1,426.70","1,435.00","1,458.95","1,415.00","1,425.00","1,423.55","19,11,487","2,74,52,62,445.75","43,194"
M&M,EQ,13-Jun-17,"1,423.55","1,433.00","1,439.85","1,414.00","1,416.90","1,417.65","9,83,018","1,40,25,92,468.65","37,872"
M&M,EQ,14-Jun-17,"1,417.65","1,430.00","1,432.85","1,401.10","1,403.45","1,405.20","9,42,385","1,32,93,70,572.85","48,226"
M&M,EQ,15-Jun-17,"1,405.20","1,409.00","1,414.00","1,378.85","1,389.85","1,387.65","15,67,392","2,18,17,69,486.15","44,283"
M&M,EQ,16-Jun-17,"1,387.65","1,398.20","1,409.35","1,383.30","1,384.00","1,387.30","16,50,375","2,30,33,40,191.40","41,816"
M&M,EQ,19-Jun-17,"1,387.30","1,393.00","1,405.00","1,383.75","1,386.00","1,388.25","11,12,550","1,55,05,48,333.60","41,169"
M&M,EQ,20-Jun-17,"1,388.25","1,394.60","1,399.00","1,385.00","1,386.70","1,389.45","9,39,704","1,30,66,22,140.20","48,781"
M&M,EQ,21-Jun-17,"1,389.45","1,392.70","1,395.40","1,380.95","1,383.00","1,387.15","14,94,718","2,07,27,92,836.95","45,285"
M&M,EQ,22-Jun-17,"1,387.15","1,385.00","1,407.20","1,381.70","1,397.20","1,396.30","11,28,366","1,57,70,31,003.75","39,841"
M&M,EQ,23-Jun-17,"1,396.30","1,400.00","1,418.25","1,370.10","1,382.00","1,376.20","12,20,802","1,70,17,79,938.20","48,080"
M&M,EQ,27-Jun-17,"1,376.20","1,393.30","1,394.50","1,365.00","1,368.95","1,370.30","16,68,109","2,30,06,40,429.95","39,979"
M&M,EQ,28-Jun-17,"1,370.30","1,370.00","1,375.00","1,348.75","1,353.00","1,356.05","8,27,917","1,12,46,02,077.00","28,578"
M&M,EQ,29-Jun-17,"1,356.05","1,360.00","1,379.10","1,352.15","1,360.10","1,355.65","9,36,894","1,27,82,34,629.60","40,064"
M&M,EQ,30-Jun-17,"1,355.65","1,355.00","1,358.85","1,345.10","1,355.00","1,348.60","9,54,758","1,28,87,11,224.30","24,904"
M&M,EQ,03-Jul-17,"1,348.60","1,356.00","1,372.00","1,343.00","1,364.10","1,366.45","10,23,959","1,39,80,92,391.75","27,860"
M&M,EQ,04-Jul-17,"1,366.45","1,365.00","1,377.00","1,351.70","1,355.00","1,355.15","4,30,180","58,61,94,939.10","18,659"
M&M,EQ,05-Jul-17,"1,355.15","1,365.00","1,395.40","1,361.50","1,383.00","1,385.00","12,16,606","1,68,43,73,320.10","41,595"
M&M,EQ,06-Jul-17,"1,385.00","1,393.70","1,393.70","1,370.00","1,370.95","1,376.05","7,80,888","1,08,08,69,932.75","32,579"
M&M,EQ,07-Jul-17,"1,376.05","1,370.40","1,393.85","1,370.40","1,376.00","1,376.00","6,58,350","91,06,07,919.25","29,442"
M&M,EQ,10-Jul-17,"1,376.00","1,344.45","1,400.00","1,344.45","1,366.00","1,367.40","4,36,811","59,72,70,472.10","9,688"
M&M,EQ,11-Jul-17,"1,367.40","1,374.00","1,395.00","1,373.95","1,390.00","1,390.15","20,73,421","2,88,38,12,276.75","62,838"
M&M,EQ,12-Jul-17,"1,390.15","1,395.00","1,396.10","1,375.00","1,376.00","1,376.70","7,36,026","1,01,85,78,242.95","38,796"
M&M,EQ,13-Jul-17,"1,376.70","1,369.70","1,379.00","1,366.05","1,369.00","1,370.40","7,94,838","1,09,01,44,353.70","32,543"
M&M,EQ,14-Jul-17,"1,370.40","1,377.95","1,382.45","1,369.00","1,373.10","1,375.55","6,53,673","90,01,41,583.20","19,412"
M&M,EQ,17-Jul-17,"1,375.55","1,380.00","1,405.40","1,378.30","1,381.95","1,384.60","13,13,078","1,83,03,83,721.20","40,678"
M&M,EQ,18-Jul-17,"1,384.60","1,381.95","1,401.95","1,377.00","1,383.50","1,380.15","8,22,868","1,13,98,63,650.65","21,635"
M&M,EQ,19-Jul-17,"1,380.15","1,388.00","1,393.00","1,377.15","1,381.25","1,382.40","18,97,894","2,62,61,52,654.45","32,733"
